ID,time,Rep1,Rep2,Rep3,AVE_VL,log10_AverVL,ObsID,MOI,SUPPCR0,CellPCR0,delta,Cat,kappa,,,,
High,1,34300890,20095695,22225410,25540665,7.407232201,PCR_Cell,3,901980,25540665,0.29,3,1.37,,,,
High,3,21382690,27396675,17136925,21972096.67,7.341871501,PCR_Cell,3,901980,25540665,0.29,3,1.37,,,,
High,6,35725585,49848005,48296655,44623415,7.649562803,PCR_Cell,3,901980,25540665,0.29,3,1.37,,,,
High,9,667668875,272729090,231207450,390535138.3,8.591660116,PCR_Cell,3,901980,25540665,0.29,3,1.37,,,,
High,12,1824941750,2178598250,1745937625,1916492542,9.282507133,PCR_Cell,3,901980,25540665,0.29,3,1.37,,,,
High,24,4514834500,4467212500,6445235000,5142427333,9.711168163,PCR_Cell,3,901980,25540665,0.29,3,1.37,,,,
High,1,1133265,891620,681055,901980,5.955196908,PCR_Sup,3,901980,25540665,0.29,3,1.37,,,,
High,3,3112365,3711650,3538525,3454180,6.538344965,PCR_Sup,3,901980,25540665,0.29,3,1.37,,,,
High,6,6839020,5866835,6418355,6374736.667,6.804462249,PCR_Sup,3,901980,25540665,0.29,3,1.37,,,,
High,9,9588685,10947615,9551655,10029318.33,7.001271416,PCR_Sup,3,901980,25540665,0.29,3,1.37,,,,
High,12,25695970,15698190,25682615,22358925,7.349450919,PCR_Sup,3,901980,25540665,0.29,3,1.37,,,,
High,24,161210825,158365500,155290700,158289008.3,8.199450758,PCR_Sup,3,901980,25540665,0.29,3,1.37,,,,
High,33,2498800500,1285590250,878851250,1554414000,9.191566699,PCR_Sup,3,901980,25540665,0.29,3,1.37,,,,
High,6,3450,3600,2850,3300,3.51851394,PFU_Cell,3,901980,25540665,0.29,3,1.37,,,,
High,12,2200000,1500000,1700000,1800000,6.255272505,PFU_Cell,3,901980,25540665,0.29,3,1.37,,,,
High,24,21500000,14500000,20500000,18833333.33,7.274927193,PFU_Cell,3,901980,25540665,0.29,3,1.37,,,,
High,6,4100,1800,2200,2700,3.431363764,PFU_Sup,3,901980,25540665,0.29,3,1.37,,,,
High,12,22500,13000,10000,15166.66667,4.180890142,PFU_Sup,3,901980,25540665,0.29,3,1.37,,,,
High,24,455000,445000,390000,430000,5.633468456,PFU_Sup,3,901980,25540665,0.29,3,1.37,,,,
Low,1,271025,123725,116720,170490,5.231698911,PCR_Cell,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,6,103870,148425,160070,137455,5.138160542,PCR_Cell,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,12,7162910,1891565,2086295,3713590,6.569793954,PCR_Cell,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,24,448704250,504310530,541917000,498310593.3,8.69750012,PCR_Cell,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,33,4711723000,5147039000,4938484500,4932415500,9.693059654,PCR_Cell,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,48,12315522000,15745877000,12123836000,13395078333,10.12694526,PCR_Cell,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,60,17097782000,19673934000,24227300000,20333005333,10.30820157,PCR_Cell,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,72,15696262000,16723393000,15281569000,15900408000,10.20140827,PCR_Cell,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,1,9480,3650,4115,5748.333333,3.759541944,PCR_Sup,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,3,7180,33355,27025,22520,4.352568386,PCR_Sup,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,6,24510,32555,28855,28640,4.456973014,PCR_Sup,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,9,35910,73965,29650,46508.33333,4.667530776,PCR_Sup,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,12,52460,131825,31865,72050,4.857633985,PCR_Sup,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,24,202110,222855,157445,194136.6667,5.288107569,PCR_Sup,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,33,25201290,29356965,24612605,26390286.67,7.421444108,PCR_Sup,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,48,354306905,282072810,289709655,308696456.7,8.489531645,PCR_Sup,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,54,438858000,318156500,384749030,380587843.3,8.580454912,PCR_Sup,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,60,648991560,881651500,906818000,812487020,8.909816432,PCR_Sup,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
Low,72,2678679250,1827082750,2074294625,2193352208,9.341108376,PCR_Sup,0.01,5748.333333,170490,0.073,0.01,0.82,,,,
