ID,time,qPCR_1,qPCR_2,AveqPCR,log10_AverPCR,ObsID,MOI,Cell0,Sup0
High,1,18139950,35286890,26713420,7.426729492,Cell,3,26713420,3470150
High,6,32230590,246662185,139446387.5,8.144407268,Cell,3,26713420,3470150
High,12,2480987500,242700325,1361843913,9.134127334,Cell,3,26713420,3470150
High,24,3082558000,5958479500,4520518750,9.655188275,Cell,3,26713420,3470150
High,30,7646697500,9385589000,8516143250,9.930242958,Cell,3,26713420,3470150
High,36,6342647500,45484300000,25913473750,10.41352563,Cell,3,26713420,3470150
High,48,8303655000,48288920000,28296287500,10.45172946,Cell,3,26713420,3470150
High,60,11858607000,12306976000,12082791500,10.08216728,Cell,3,26713420,3470150
High,1,1660260,5280040,3470150,6.540348248,Sup,3,26713420,3470150
High,6,43937195,55848625,49892910,7.698038835,Sup,3,26713420,3470150
High,12,6657745,67798715,37228230,7.570872388,Sup,3,26713420,3470150
High,24,279258590,227662965,253460777.5,8.403910763,Sup,3,26713420,3470150
High,30,547437250,544953560,546195405,8.737348042,Sup,3,26713420,3470150
High,36,556219560,635657185,595938372.5,8.775201351,Sup,3,26713420,3470150
High,48,2300770500,2094934500,2197852500,9.341998543,Sup,3,26713420,3470150
High,60,6372876000,3069117250,4720996625,9.67403369,Sup,3,26713420,3470150
Low,1,1092695,1494000,1293347.5,6.111715228,Cell,0.1,1293347.5,69750
Low,6,5577880,6837950,6207915,6.792945762,Cell,0.1,1293347.5,69750
Low,12,35425715,33094625,34260170,7.534789514,Cell,0.1,1293347.5,69750
Low,24,36503885,37429755,36966820,7.567812093,Cell,0.1,1293347.5,69750
Low,30,127147255,170318230,148732742.5,8.172406586,Cell,0.1,1293347.5,69750
Low,36,370891435,1320170625,845531030,8.92712955,Cell,0.1,1293347.5,69750
Low,48,1447143875,1923127000,1685135438,9.226634812,Cell,0.1,1293347.5,69750
Low,60,329399965,4664694000,2497046983,9.397426714,Cell,0.1,1293347.5,69750
Low,72,461769250,5216447000,2839108125,9.453181933,Cell,0.1,1293347.5,69750
Low,84,16630648000,1061493875,8846070938,9.946750418,Cell,0.1,1293347.5,69750
Low,96,16747397000,1435966875,9091681938,9.958644234,Cell,0.1,1293347.5,69750
Low,108,37116476000,54377728000,45747102000,10.66036359,Cell,0.1,1293347.5,69750
Low,122,14936764000,7155909000,11046336500,10.04321827,Cell,0.1,1293347.5,69750
Low,146,8536084000,8371636000,8453860000,9.927055051,Cell,0.1,1293347.5,69750
Low,1,68390,71110,69750,4.843544212,Sup,0.1,1293347.5,69750
Low,6,894800,1430380,1162590,6.065426583,Sup,0.1,1293347.5,69750
Low,12,1834885,2217470,2026177.5,6.306677488,Sup,0.1,1293347.5,69750
Low,24,5287820,13736085,9511952.5,6.978269673,Sup,0.1,1293347.5,69750
Low,30,16225090,10377110,13301100,7.123887559,Sup,0.1,1293347.5,69750
Low,36,13505380,17116050,15310715,7.184995472,Sup,0.1,1293347.5,69750
Low,48,77107285,73917125,75512205,7.878017152,Sup,0.1,1293347.5,69750
Low,60,134495700,104067420,119281560,8.07657331,Sup,0.1,1293347.5,69750
Low,72,152447030,108372215,130409622.5,8.115309638,Sup,0.1,1293347.5,69750
Low,84,96717230,79626630,88171930,7.945330347,Sup,0.1,1293347.5,69750
Low,96,209857265,138959625,174408445,8.24156751,Sup,0.1,1293347.5,69750
Low,108,788970250,1666964500,1227967375,9.089186828,Sup,0.1,1293347.5,69750
Low,122,1416893125,1491188125,1454040625,9.162576541,Sup,0.1,1293347.5,69750
Low,146,5542751000,6275717500,5909234250,9.771531206,Sup,0.1,1293347.5,69750
